# RO-00 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"C) May 1, 2024","74,263","78,878","83,491","88,107","92,720","97,339","101,232"
"Z) May 1, 2024 - Wage Adjustment","74,449","79,075","83,700","88,327","92,952","97,582","101,485"
"D) May 1, 2025","75,938","80,657","85,374","90,094","94,811","99,534","103,515"

# RO-06 - Annual Rates of Pay (in dollars)
# Section: Appendix “A”
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) May 1, 2021","75,426","80,310","85,191","90,074","94,957","99,843",N/A
"A) May 1, 2022","77,500","82,519","87,534","92,551","97,568","102,589",N/A
"X) May 1, 2022 - Wage Adjustment","78,469","83,550","88,628","93,708","98,788","103,871",N/A
"B) May 1, 2023","80,431","85,639","90,844","96,051","101,258","106,468",N/A
Y) New Step 7,"80,431","85,639","90,844","96,051","101,258","106,468","110,727"
"C) May 1, 2024","82,040","87,352","92,661","97,972","103,283","108,597","112,942"
"Z) May 1, 2024 - Wage Adjustment","82,245","87,570","92,893","98,217","103,541","108,868","113,224"
"D) May 1, 2025","83,890","89,321","94,751","100,181","105,612","111,045","115,488"

"# RO-00 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,619.29,631.71,644.19,656.18,668.22,680.24
Daily:,123.86,126.34,128.84,131.24,133.64,136.05
Hourly:,16.51,16.85,17.18,17.50,17.82,18.14

"# RO-01 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,909.04,975.81,1042.64,1109.46,1176.31,1243.10
Daily:,181.81,195.16,208.53,221.89,235.26,248.62
Hourly:,24.24,26.02,27.80,29.59,31.37,33.15

"# RO-02 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1042.05,1094.03,1145.93,1197.89,1249.81,1301.81
Daily:,208.41,218.81,229.19,239.58,249.96,260.36
Hourly:,27.79,29.17,30.56,31.94,33.33,34.71

"# RO-03 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1164.29,1234.90,1305.49,1375.98,1446.57,1517.12
Daily:,232.86,246.98,261.10,275.20,289.31,303.42
Hourly:,31.05,32.93,34.81,36.69,38.58,40.46

"# RO-04 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1258.11,1335.35,1412.64,1489.86,1567.08,1644.36
Daily:,251.62,267.07,282.53,297.97,313.42,328.87
Hourly:,33.55,35.61,37.67,39.73,41.79,43.85

"# RO-04 Instructor - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1340.79,1418.74,1496.65,1574.57,1652.43,1730.43
Daily:,268.16,283.75,299.33,314.91,330.49,346.09
Hourly:,35.75,37.83,39.91,41.99,44.06,46.14

"# RO-05 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1361.37,1445.97,1530.55,1615.15,1699.73,1784.38
Daily:,272.27,289.19,306.11,323.03,339.95,356.88
Hourly:,36.30,38.56,40.81,43.07,45.33,47.58

"# RO-06 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-1”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1503.93,1601.31,1698.64,1796.00,1893.36,1990.78
Daily:,300.79,320.26,339.73,359.20,378.67,398.16
Hourly:,40.10,42.70,45.30,47.89,50.49,53.09

"# RO-00 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,634.77,647.50,660.28,672.59,684.93,697.24
Daily:,126.95,129.50,132.06,134.52,136.99,139.45
Hourly:,16.93,17.27,17.61,17.94,18.26,18.59

"# RO-01 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,931.77,1000.21,1068.71,1137.19,1205.71,1274.19
Daily:,186.35,200.04,213.74,227.44,241.14,254.84
Hourly:,24.85,26.67,28.50,30.33,32.15,33.98

"# RO-02 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1068.10,1121.38,1174.58,1227.84,1281.05,1334.35
Daily:,213.62,224.28,234.92,245.57,256.21,266.87
Hourly:,28.48,29.90,31.32,32.74,34.16,35.58

"# RO-03 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1193.40,1265.77,1338.12,1410.38,1482.73,1555.04
Daily:,238.68,253.15,267.62,282.08,296.55,311.01
Hourly:,31.82,33.75,35.68,37.61,39.54,41.47

"# RO-04 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1289.56,1368.73,1447.96,1527.10,1606.26,1685.47
Daily:,257.91,273.75,289.59,305.42,321.25,337.09
Hourly:,34.39,36.50,38.61,40.72,42.83,44.95

"# RO-04 Instructor - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1374.31,1454.21,1534.06,1613.94,1693.73,1773.69
Daily:,274.86,290.84,306.81,322.79,338.75,354.74
Hourly:,36.65,38.78,40.91,43.04,45.17,47.30

"# RO-05 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1395.41,1482.12,1568.81,1655.53,1742.22,1829.00
Daily:,279.08,296.42,313.76,331.11,348.44,365.80
Hourly:,37.21,39.52,41.83,44.15,46.46,48.77

"# RO-06 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-2”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
Weekly:,1541.53,1641.35,1741.11,1840.90,1940.70,2040.56
Daily:,308.31,328.27,348.22,368.18,388.14,408.11
Hourly:,41.11,43.77,46.43,49.09,51.75,54.41

"# RO-00 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,725.12
Daily:,145.02
Hourly:,19.34

"# RO-01 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,1325.15
Daily:,265.03
Hourly:,35.34

"# RO-02 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,1387.73
Daily:,277.55
Hourly:,37.01

"# RO-03 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,1617.24
Daily:,323.45
Hourly:,43.13

"# RO-04 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,1752.89
Daily:,350.58
Hourly:,46.74

"# RO-04 Instructor - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,1844.64
Daily:,368.93
Hourly:,49.19

"# RO-05 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,1902.16
Daily:,380.43
Hourly:,50.72

"# RO-06 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-3”
Pay Frequency,Step 7
Weekly:,2122.18
Daily:,424.44
Hourly:,56.59

"# RO-00 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,649.07,662.11,675.18,687.75,700.38,712.97,741.47
Daily:,129.81,132.42,135.04,137.55,140.08,142.59,148.29
Hourly:,17.31,17.66,18.00,18.34,18.68,19.01,19.77

"# RO-01 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,952.78,1022.77,1092.80,1162.83,1232.88,1302.94,1355.03
Daily:,190.56,204.55,218.56,232.57,246.58,260.59,271.01
Hourly:,25.41,27.27,29.14,31.01,32.88,34.75,36.13

"# RO-02 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1092.19,1146.66,1201.07,1255.52,1309.93,1364.44,1419.02
Daily:,218.44,229.33,240.21,251.10,261.99,272.89,283.80
Hourly:,29.13,30.58,32.03,33.48,34.93,36.39,37.84

"# RO-03 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1220.31,1294.31,1368.29,1442.20,1516.16,1590.12,1653.71
Daily:,244.06,258.86,273.66,288.44,303.23,318.02,330.74
Hourly:,32.54,34.51,36.49,38.46,40.43,42.40,44.10

"# RO-04 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1318.65,1399.59,1480.62,1561.54,1642.48,1723.47,1792.41
Daily:,263.73,279.92,296.12,312.31,328.50,344.69,358.48
Hourly:,35.16,37.32,39.48,41.64,43.80,45.96,47.80

"# RO-04 Instructor - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1405.30,1487.01,1568.65,1650.34,1731.91,1813.69,1886.23
Daily:,281.06,297.40,313.73,330.07,346.38,362.74,377.25
Hourly:,37.47,39.65,41.83,44.01,46.18,48.37,50.30

"# RO-05 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1426.88,1515.54,1604.19,1692.87,1781.51,1870.25,1945.05
Daily:,285.38,303.11,320.84,338.57,356.30,374.05,389.01
Hourly:,38.05,40.41,42.78,45.14,47.51,49.87,51.87

"# RO-06 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-4”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1576.30,1678.36,1780.38,1882.42,1984.46,2086.55,2170.04
Daily:,315.26,335.67,356.08,376.48,396.89,417.31,434.01
Hourly:,42.03,44.76,47.48,50.20,52.92,55.64,57.87

"# RO-00 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,662.05,675.35,688.69,701.51,714.39,727.23,756.31
Daily:,132.41,135.07,137.74,140.30,142.88,145.45,151.26
Hourly:,17.65,18.01,18.37,18.71,19.05,19.39,20.17

"# RO-01 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,971.83,1043.22,1114.65,1186.08,1257.55,1329.00,1382.13
Daily:,194.37,208.64,222.93,237.22,251.51,265.80,276.43
Hourly:,25.92,27.82,29.72,31.63,33.53,35.44,36.86

"# RO-02 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1114.04,1169.60,1225.08,1280.63,1336.13,1391.73,1447.41
Daily:,222.81,233.92,245.02,256.13,267.23,278.35,289.48
Hourly:,29.71,31.19,32.67,34.15,35.63,37.11,38.60

"# RO-03 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1244.71,1320.20,1395.66,1471.04,1546.48,1621.91,1686.79
Daily:,248.94,264.04,279.13,294.21,309.30,324.38,337.36
Hourly:,33.19,35.21,37.22,39.23,41.24,43.25,44.98

"# RO-04 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1345.02,1427.59,1510.23,1592.78,1675.33,1757.93,1828.25
Daily:,269.00,285.52,302.05,318.56,335.07,351.59,365.65
Hourly:,35.87,38.07,40.27,42.47,44.68,46.88,48.75

"# RO-04 Instructor - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1433.40,1516.75,1600.03,1683.34,1766.54,1849.97,1923.95
Daily:,286.68,303.35,320.01,336.67,353.31,369.99,384.79
Hourly:,38.22,40.45,42.67,44.89,47.11,49.33,51.31

"# RO-05 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1455.42,1545.86,1636.27,1726.73,1817.14,1907.66,1983.96
Daily:,291.08,309.17,327.25,345.35,363.43,381.53,396.79
Hourly:,38.81,41.22,43.63,46.05,48.46,50.87,52.91

"# RO-06 - Weekly, Daily and Hourly Rates of Pay (in dollars)"
# Section: Appendix “A-5”
Pay Frequency,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
Weekly:,1607.83,1711.92,1815.99,1920.06,2024.15,2128.28,2213.43
Daily:,321.57,342.38,363.20,384.01,404.83,425.66,442.69
Hourly:,42.88,45.65,48.43,51.20,53.98,56.75,59.02

