# CAI-01: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"A) January 26, 2023","118,297","121,276","124,672","128,068","131,521",Not applicable,Not applicable
"X) January 26, 2023 – wage adjustment","119,776","122,792","126,230","129,669","133,165",Not applicable,Not applicable
"R) January 26, 2023 – restructure","119,776","122,792","126,230","129,669","133,165","136,827","140,590"
"B) January 26, 2024","123,369","126,476","130,017","133,559","137,160","140,932","144,808"
"Y) January 26, 2024 – wage adjustment","123,986","127,108","130,667","134,227","137,846","141,637","145,532"
"C) January 26, 2025","126,466","129,650","133,280","136,912","140,603","144,470","148,442"
"Z) January 26, 2025 – wage adjustment","126,782","129,974","133,613","137,254","140,955","144,831","148,814"
"D) January 26, 2026","129,318","132,573","136,285","139,999","143,774","147,728","151,790"

# HPS-03: annual rates of pay (in dollars)
# Section: Appendix “A”: annual rates of pay
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) January 26, 2022","120,253","124,175","127,956","131,863","135,430",Not applicable,Not applicable
"A) January 26, 2023","124,462","128,521","132,434","136,478","140,170",Not applicable,Not applicable
"X) January 26, 2023 – wage adjustment","126,018","130,128","134,089","138,184","141,922",Not applicable,Not applicable
"R) January 26, 2023 – restructure","126,018","130,128","134,089","138,184","141,922","145,825","149,835"
"B) January 26, 2024","129,799","134,032","138,112","142,330","146,180","150,200","154,330"
"Y) January 26, 2024 – wage adjustment","130,448","134,702","138,803","143,042","146,911","150,951","155,102"
"C) January 26, 2025","133,057","137,396","141,579","145,903","149,849","153,970","158,204"
"Z) January 26, 2025 – wage adjustment","133,390","137,739","141,933","146,268","150,224","154,355","158,600"
"D) January 26, 2026","136,058","140,494","144,772","149,193","153,228","157,442","161,771"

