# SO-MAO-TO: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"F) April 1, 2023",47.46,49.11,50.85,52.63
"X) December 21, 2023 : market adjustment",49.36,51.07,52.88,54.74
"G) April 1, 2024",50.35,52.09,53.94,55.83
"Y) April 1, 2024 : wage adjustment",50.48,52.22,54.07,55.97
"Z) April 1, 2025",51.49,53.26,55.15,57.09

# SO-MAO-8: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",42.74,44.24,45.79,47.39
"A) April 1, 2018",43.94,45.48,47.07,48.72
"B) April 1, 2019",44.91,46.48,48.11,49.79
"C) April 1, 2020",45.58,47.18,48.83,50.54
"D) April 1, 2021",46.26,47.89,49.56,51.30
"E) April 1, 2022",47.88,49.57,51.29,53.10
"W) April 1, 2022 : wage adjustment",48.48,50.19,51.93,53.76
"F) April 1, 2023",49.93,51.70,53.49,55.37
"X) December 21, 2023 : market adjustment",51.93,53.77,55.63,57.58
"G) April 1, 2024",52.97,54.85,56.74,58.73
"Y) April 1, 2024 : wage adjustment",53.10,54.99,56.88,58.88
"Z) April 1, 2025",54.16,56.09,58.02,60.06

# SO-MAO-9: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",46.01,47.63,49.29,51.02
"A) April 1, 2018",47.30,48.96,50.67,52.45
"B) April 1, 2019",48.34,50.04,51.78,53.60
"C) April 1, 2020",49.07,50.79,52.56,54.40
"D) April 1, 2021",49.81,51.55,53.35,55.22
"E) April 1, 2022",51.55,53.35,55.22,57.15
"W) April 1, 2022 : wage adjustment",52.19,54.02,55.91,57.86
"F) April 1, 2023",53.76,55.64,57.59,59.60
"X) December 21, 2023 : market adjustment",55.91,57.87,59.89,61.98
"G) April 1, 2024",57.03,59.03,61.09,63.22
"Y) April 1, 2024 : wage adjustment",57.17,59.18,61.24,63.38
"Z) April 1, 2025",58.31,60.36,62.46,64.65

# SO-MAO-10: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",50.16,51.90,53.74,55.60
"A) April 1, 2018",51.56,53.35,55.24,57.16
"B) April 1, 2019",52.69,54.52,56.46,58.42
"C) April 1, 2020",53.48,55.34,57.31,59.30
"D) April 1, 2021",54.28,56.17,58.17,60.19
"E) April 1, 2022",56.18,58.14,60.21,62.30
"W) April 1, 2022 : wage adjustment",56.88,58.87,60.96,63.08
"F) April 1, 2023",58.59,60.64,62.79,64.97
"X) December 21, 2023 : market adjustment",60.93,63.07,65.30,67.57
"G) April 1, 2024",62.15,64.33,66.61,68.92
"Y) April 1, 2024 : wage adjustment",62.31,64.49,66.78,69.09
"Z) April 1, 2025",63.56,65.78,68.12,70.47

# SO-MAO-11: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",55.23,57.15,59.18,61.24
"A) April 1, 2018",56.78,58.75,60.84,62.95
"B) April 1, 2019",58.03,60.04,62.18,64.33
"C) April 1, 2020",58.90,60.94,63.11,65.29
"D) April 1, 2021",59.78,61.85,64.06,66.27
"E) April 1, 2022",61.87,64.01,66.30,68.59
"W) April 1, 2022 : wage adjustment",62.64,64.81,67.13,69.45
"F) April 1, 2023",64.52,66.75,69.14,71.53
"X) December 21, 2023 : market adjustment",67.10,69.42,71.91,74.39
"G) April 1, 2024",68.44,70.81,73.35,75.88
"Y) April 1, 2024 : wage adjustment",68.61,70.99,73.53,76.07
"Z) April 1, 2025",69.98,72.41,75.00,77.59

# SO-MAO-12: hourly rates of pay
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",60.20,62.31,64.47,66.75
"A) April 1, 2018",61.89,64.05,66.28,68.62
"B) April 1, 2019",63.25,65.46,67.74,70.13
"C) April 1, 2020",64.20,66.44,68.76,71.18
"D) April 1, 2021",65.16,67.44,69.79,72.25
"E) April 1, 2022",67.44,69.80,72.23,74.78
"W) April 1, 2022 : wage adjustment",68.28,70.67,73.13,75.71
"F) April 1, 2023",70.33,72.79,75.32,77.98
"X) December 21, 2023 : market adjustment",73.14,75.70,78.33,81.10
"G) April 1, 2024",74.60,77.21,79.90,82.72
"Y) April 1, 2024 : wage adjustment",74.79,77.40,80.10,82.93
"Z) April 1, 2025",76.29,78.95,81.70,84.59

# SO-FLP-1: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",30.35,31.42,32.52,33.64
"A) April 1, 2018",31.20,32.30,33.43,34.58
"B) April 1, 2019",31.89,33.01,34.17,35.34
"C) April 1, 2020",32.37,33.51,34.68,35.87
"D) April 1, 2021",32.86,34.01,35.20,36.41
"E) April 1, 2022",34.01,35.20,36.43,37.68
"W) April 1, 2022 : wage adjustment",34.44,35.64,36.89,38.15
"F) April 1, 2023",35.47,36.71,38.00,39.29
"X) December 21, 2023 : market adjustment",36.89,38.18,39.52,40.86
"G) April 1, 2024",37.63,38.94,40.31,41.68
"Y) April 1, 2024 : wage adjustment",37.72,39.04,40.41,41.78
"Z) April 1, 2025",38.47,39.82,41.22,42.62

# SO-FLP-2: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",32.58,33.72,34.90,36.11
"A) April 1, 2018",33.49,34.66,35.88,37.12
"B) April 1, 2019",34.23,35.42,36.67,37.94
"C) April 1, 2020",34.74,35.95,37.22,38.51
"D) April 1, 2021",35.26,36.49,37.78,39.09
"E) April 1, 2022",36.49,37.77,39.10,40.46
"W) April 1, 2022 : wage adjustment",36.95,38.24,39.59,40.97
"F) April 1, 2023",38.06,39.39,40.78,42.20
"X) December 21, 2023 : market adjustment",39.58,40.97,42.41,43.89
"G) April 1, 2024",40.37,41.79,43.26,44.77
"Y) April 1, 2024 : wage adjustment",40.47,41.89,43.37,44.88
"Z) April 1, 2025",41.28,42.73,44.24,45.78

# SO-FLP-3: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",35.04,36.29,37.55,38.86
"A) April 1, 2018",36.02,37.31,38.60,39.95
"B) April 1, 2019",36.81,38.13,39.45,40.83
"C) April 1, 2020",37.36,38.70,40.04,41.44
"D) April 1, 2021",37.92,39.28,40.64,42.06
"E) April 1, 2022",39.25,40.65,42.06,43.53
"W) April 1, 2022 : wage adjustment",39.74,41.16,42.59,44.07
"F) April 1, 2023",40.93,42.39,43.87,45.39
"X) December 21, 2023 : market adjustment",42.57,44.09,45.62,47.21
"G) April 1, 2024",43.42,44.97,46.53,48.15
"Y) April 1, 2024 : wage adjustment",43.53,45.08,46.65,48.27
"Z) April 1, 2025",44.40,45.98,47.58,49.24

# SO-FLP-4: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",37.23,38.51,39.86,41.26
"A) April 1, 2018",38.27,39.59,40.98,42.42
"B) April 1, 2019",39.11,40.46,41.88,43.35
"C) April 1, 2020",39.70,41.07,42.51,44.00
"D) April 1, 2021",40.30,41.69,43.15,44.66
"E) April 1, 2022",41.71,43.15,44.66,46.22
"W) April 1, 2022 : wage adjustment",42.23,43.69,45.22,46.80
"F) April 1, 2023",43.50,45.00,46.58,48.20
"X) December 21, 2023 : market adjustment",45.24,46.80,48.44,50.13
"G) April 1, 2024",46.14,47.74,49.41,51.13
"Y) April 1, 2024 : wage adjustment",46.26,47.86,49.53,51.26
"Z) April 1, 2025",47.19,48.82,50.52,52.29

# SO-FLP-5: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",39.83,41.24,42.68,44.18
"A) April 1, 2018",40.95,42.39,43.88,45.42
"B) April 1, 2019",41.85,43.32,44.85,46.42
"C) April 1, 2020",42.48,43.97,45.52,47.12
"D) April 1, 2021",43.12,44.63,46.20,47.83
"E) April 1, 2022",44.63,46.19,47.82,49.50
"W) April 1, 2022 : wage adjustment",45.19,46.77,48.42,50.12
"F) April 1, 2023",46.55,48.17,49.87,51.62
"X) December 21, 2023 : market adjustment",48.41,50.10,51.86,53.68
"G) April 1, 2024",49.38,51.10,52.90,54.75
"Y) April 1, 2024 : wage adjustment",49.50,51.23,53.03,54.89
"Z) April 1, 2025",50.49,52.25,54.09,55.99

# SO-FLP-6: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",42.40,43.87,45.40,47.00
"A) April 1, 2018",43.59,45.10,46.67,48.32
"B) April 1, 2019",44.55,46.09,47.70,49.38
"C) April 1, 2020",45.22,46.78,48.42,50.12
"D) April 1, 2021",45.90,47.48,49.15,50.87
"E) April 1, 2022",47.51,49.14,50.87,52.65
"W) April 1, 2022 : wage adjustment",48.10,49.75,51.51,53.31
"F) April 1, 2023",49.54,51.24,53.06,54.91
"X) December 21, 2023 : market adjustment",51.52,53.29,55.18,57.11
"G) April 1, 2024",52.55,54.36,56.28,58.25
"Y) April 1, 2024 : wage adjustment",52.68,54.50,56.42,58.40
"Z) April 1, 2025",53.73,55.59,57.55,59.57

# SO-FLP-7: hourly rates of pay
# Section: Appendix “B”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",44.92,46.48,48.10,49.80
"A) April 1, 2018",46.18,47.78,49.45,51.19
"B) April 1, 2019",47.20,48.83,50.54,52.32
"C) April 1, 2020",47.91,49.56,51.30,53.10
"D) April 1, 2021",48.63,50.30,52.07,53.90
"E) April 1, 2022",50.33,52.06,53.89,55.79
"W) April 1, 2022 : wage adjustment",50.96,52.71,54.56,56.49
"F) April 1, 2023",52.49,54.29,56.20,58.18
"X) December 21, 2023 : market adjustment",54.59,56.46,58.45,60.51
"G) April 1, 2024",55.68,57.59,59.62,61.72
"Y) April 1, 2024 : wage adjustment",55.82,57.73,59.77,61.87
"Z) April 1, 2025",56.94,58.88,60.97,63.11

# SO-RAD-1: hourly rates of pay
# Section: Appendix “C”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",32.30,33.43,34.61,35.82
"A) April 1, 2018",33.20,34.37,35.58,36.82
"B) April 1, 2019",33.93,35.13,36.36,37.63
"C) April 1, 2020",34.44,35.66,36.91,38.19
"D) April 1, 2021",34.96,36.19,37.46,38.76
"E) April 1, 2022",36.18,37.46,38.77,40.12
"W) April 1, 2022 : wage adjustment",36.63,37.93,39.25,40.62
"F) April 1, 2023",37.73,39.07,40.43,41.84
"X) December 21, 2023 : market adjustment",39.24,40.63,42.05,43.51
"G) April 1, 2024",40.02,41.44,42.89,44.38
"Y) April 1, 2024 : wage adjustment",40.12,41.54,43.00,44.49
"Z) April 1, 2025",40.92,42.37,43.86,45.38

# SO-RAD-2: hourly rates of pay
# Section: Appendix “C”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",34.14,35.32,36.57,37.84
"A) April 1, 2018",35.10,36.31,37.59,38.90
"B) April 1, 2019",35.87,37.11,38.42,39.76
"C) April 1, 2020",36.41,37.67,39.00,40.36
"D) April 1, 2021",36.96,38.24,39.59,40.97
"E) April 1, 2022",38.25,39.58,40.98,42.40
"W) April 1, 2022 : wage adjustment",38.73,40.07,41.49,42.93
"F) April 1, 2023",39.89,41.27,42.73,44.22
"X) December 21, 2023 : market adjustment",41.49,42.92,44.44,45.99
"G) April 1, 2024",42.32,43.78,45.33,46.91
"Y) April 1, 2024 : wage adjustment",42.43,43.89,45.44,47.03
"Z) April 1, 2025",43.28,44.77,46.35,47.97

# SO-RAD-3: hourly rates of pay
# Section: Appendix “C”
Effective date,Step 1,Step 2,Step 3,Step 4
"$) April 1, 2017",35.82,37.05,38.35,39.69
"A) April 1, 2018",36.82,38.09,39.42,40.80
"B) April 1, 2019",37.63,38.93,40.29,41.70
"C) April 1, 2020",38.19,39.51,40.89,42.33
"D) April 1, 2021",38.76,40.10,41.50,42.96
"E) April 1, 2022",40.12,41.50,42.95,44.46
"W) April 1, 2022 : wage adjustment",40.62,42.02,43.49,45.02
"F) April 1, 2023",41.84,43.28,44.79,46.37
"X) December 21, 2023 : market adjustment",43.51,45.01,46.58,48.22
"G) April 1, 2024",44.38,45.91,47.51,49.18
"Y) April 1, 2024 : wage adjustment",44.49,46.02,47.63,49.30
"Z) April 1, 2025",45.38,46.94,48.58,50.29

# SO-INS-1: annual rates of pay
# Section: Appendix “D”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) April 1, 2017","88,516","92,057","95,735","99,566","103,547","107,694","112,000","116,479"
"A) April 1, 2018","90,994","94,635","98,416","102,354","106,446","110,709","115,136","119,740"
"B) April 1, 2019","92,996","96,717","100,581","104,606","108,788","113,145","117,669","122,374"
"C) April 1, 2020","94,391","98,168","102,090","106,175","110,420","114,842","119,434","124,210"
"D) April 1, 2021","95,807","99,641","103,621","107,768","112,076","116,565","121,226","126,073"
"E) April 1, 2022","99,160","103,128","107,248","111,540","115,999","120,645","125,469","130,486"
"W) April 1, 2022 : wage adjustment","100,400","104,417","108,589","112,934","117,449","122,153","127,037","132,117"
"F) April 1, 2023","103,412","107,550","111,847","116,322","120,972","125,818","130,848","136,081"
"X) December 21, 2023 : market adjustment","107,548","111,852","116,321","120,975","125,811","130,851","136,082","141,524"
"G) April 1, 2024","109,699","114,089","118,647","123,395","128,327","133,468","138,804","144,354"
"Y) April 1, 2024 : wage adjustment","109,973","114,374","118,944","123,703","128,648","133,802","139,151","144,715"
"Z) April 1, 2025","112,172","116,661","121,323","126,177","131,221","136,478","141,934","147,609"

# SO-INS-1: weekly rates of pay
# Section: Appendix “D”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) April 1, 2017",1696.49,1764.36,1834.85,1908.27,1984.57,2064.05,2146.58,2232.42
"A) April 1, 2018",1743.98,1813.76,1886.23,1961.71,2040.13,2121.84,2206.69,2294.92
"B) April 1, 2019",1782.35,1853.67,1927.73,2004.87,2085.02,2168.53,2255.23,2345.41
"C) April 1, 2020",1809.09,1881.48,1956.65,2034.94,2116.30,2201.05,2289.06,2380.60
"D) April 1, 2021",1836.23,1909.71,1985.99,2065.47,2148.04,2234.07,2323.41,2416.30
"E) April 1, 2022",1900.49,1976.54,2055.50,2137.76,2223.23,2312.27,2404.73,2500.88
"W) April 1, 2022 : wage adjustment",1924.26,2001.25,2081.21,2164.48,2251.02,2341.17,2434.78,2532.14
"F) April 1, 2023",1981.98,2061.29,2143.65,2229.42,2318.54,2411.42,2507.82,2608.11
"X) December 21, 2023 : market adjustment",2061.25,2143.74,2229.40,2318.59,2411.28,2507.88,2608.13,2712.43
"G) April 1, 2024",2102.48,2186.62,2273.98,2364.98,2459.50,2558.03,2660.30,2766.67
"Y) April 1, 2024 : wage adjustment",2107.73,2192.08,2279.67,2370.88,2465.65,2564.44,2666.95,2773.59
"Z) April 1, 2025",2149.88,2235.91,2325.26,2418.30,2514.97,2615.72,2720.29,2829.06

# SO-INS-1: hourly rates of pay
# Section: Appendix “D”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) April 1, 2017",42.41,44.11,45.87,47.71,49.61,51.60,53.66,55.81
"A) April 1, 2018",43.60,45.34,47.16,49.04,51.00,53.05,55.17,57.37
"B) April 1, 2019",44.56,46.34,48.19,50.12,52.13,54.21,56.38,58.64
"C) April 1, 2020",45.23,47.04,48.92,50.87,52.91,55.03,57.23,59.52
"D) April 1, 2021",45.91,47.74,49.65,51.64,53.70,55.85,58.09,60.41
"E) April 1, 2022",47.51,49.41,51.39,53.44,55.58,57.81,60.12,62.52
"W) April 1, 2022 : wage adjustment",48.11,50.03,52.03,54.11,56.28,58.53,60.87,63.30
"F) April 1, 2023",49.55,51.53,53.59,55.74,57.96,60.29,62.70,65.20
"X) December 21, 2023 : market adjustment",51.53,53.59,55.74,57.96,60.28,62.70,65.20,67.81
"G) April 1, 2024",52.56,54.67,56.85,59.12,61.49,63.95,66.51,69.17
"Y) April 1, 2024 : wage adjustment",52.69,54.80,56.99,59.27,61.64,64.11,66.67,69.34
"Z) April 1, 2025",53.75,55.90,58.13,60.46,62.87,65.39,68.01,70.73

# SO-INS-2: annual rates of pay
# Section: Appendix “D”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) April 1, 2017","95,772","99,600","103,585","107,728","112,037","116,514","121,177","126,022"
"A) April 1, 2018","98,454","102,389","106,485","110,744","115,174","119,776","124,570","129,551"
"B) April 1, 2019","100,620","104,642","108,828","113,180","117,708","122,411","127,311","132,401"
"C) April 1, 2020","102,129","106,212","110,460","114,878","119,474","124,247","129,221","134,387"
"D) April 1, 2021","103,661","107,805","112,117","116,601","121,266","126,111","131,159","136,403"
"E) April 1, 2022","107,289","111,578","116,041","120,682","125,510","130,525","135,750","141,177"
"W) April 1, 2022 : wage adjustment","108,630","112,973","117,492","122,191","127,079","132,157","137,447","142,942"
"F) April 1, 2023","111,889","116,362","121,017","125,857","130,891","136,122","141,570","147,230"
"X) December 21, 2023 : market adjustment","116,365","121,016","125,858","130,891","136,127","141,567","147,233","153,119"
"G) April 1, 2024","118,692","123,436","128,375","133,509","138,850","144,398","150,178","156,181"
"Y) April 1, 2024 : wage adjustment","118,989","123,745","128,696","133,843","139,197","144,759","150,553","156,571"
"Z) April 1, 2025","121,369","126,220","131,270","136,520","141,981","147,654","153,564","159,702"

# SO-INS-2: weekly rates of pay
# Section: Appendix “D”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
