# Pay Group 1 Basic hourly rates of pay (in dollars)
# Section: Appendix A
"Table 4 Notes Table 4 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 4 note * referrer"

# Pay Group 5 Basic hourly rates of pay (in dollars)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",38.26,39.80,41.36
"A) January 1, 2023 table 5 note *",39.60,41.19,42.81
"X) January 1, 2023 - pay line adjustment table 5 note *",40.10,41.70,43.35
"B) January 1, 2024 table 5 note *",41.30,42.95,44.65
"Y) January 1, 2024 - pay line adjustment table 5 note *",41.51,43.16,44.87
"C) January 1, 2025 table 5 note *",42.34,44.02,45.77
"Z) January 1, 2025 - wage adjustment table 5 note *",42.45,44.13,45.88
"D) January 1, 2026",43.30,45.01,46.80
"Table 5 Notes Table 5 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 5 note * referrer"

# Pay Group 6 Basic hourly rates of pay (in dollars) PRW-4 Sail and Canvas Worker MAN-6 Marine Insulator SPS-6 Chemical Treatment Technician SPS-6 Marine Treatment Finishing Specialist SPS-7 Metal Finisher Technician PRW-6 Marine Survival Technician MAN-7 Combination Welder MDO-6 Stationary Engineer: Hoisting Plant Operator PIP-8 Marine Pipefitter Coppersmith PRW-8 Rigging SMW-8 Sheet Metal Technician WOW-8 Shipwright BOB-9 Boiler & Plate Tech. MAC-9 Machinist MAM-9 Maintenance Mechanic (Refrig)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",39.34,40.91,42.55
"A) January 1, 2023 table 6 note *",40.72,42.34,44.04
"W) January 1, 2023 - pay line adjustment table 6 note *",41.23,42.87,44.59
"B) January 1, 2024 table 6 note *",42.47,44.16,45.93
"X) January 1, 2024 - pay line adjustment table 6 note *",42.68,44.38,46.16
"C) January 1, 2025 table 6 note *",43.53,45.27,47.08
"Y) January 1, 2025 - wage adjustment table 6 note *",43.64,45.38,47.20
"Z) April 8, 2025 - wage adjustment table 6 note *",43.94,45.68,47.50
"D) January 1, 2026",44.82,46.59,48.45
"Table 6 Notes Table 6 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “W”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “X”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. Note that retroactive payment percentages include baseline economic increases only. The $0.30 increase for Pay Groups 6 and 7 will be retroactive to April 8, 2025 . (Arbitral award, issued on April 8, 2025 ) Return to table 6 note * referrer"

# Pay Group 7 Basic hourly rates of pay (in dollars) EEW-10 Marine/Industrial Electrical Tech. EEW-10 Electronics Repairman EME-10 Marine Mechanic Tech. MAM-10 Maintenance Mechanic
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",39.77,41.33,43.00
"A) January 1, 2023 table 7 note *",41.16,42.78,44.51
"W) January 1, 2023 - pay line adjustment table 7 note *",41.67,43.31,45.07
"B) January 1, 2024 table 7 note *",42.92,44.61,46.42
"X) January 1, 2024 - pay line adjustment table 7 note *",43.13,44.83,46.65
"C) January 1, 2025 table 7 note *",43.99,45.73,47.58
"Y) January 1, 2025 - wage adjustment table 7 note *",44.10,45.84,47.70
"Z) April 8, 2025 - wage adjustment table 7 note *",44.40,46.14,48.00
"D) January 1, 2026",45.29,47.06,48.96
"Table 7 Notes Table 7 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “W”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “X”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. Note that retroactive payment percentages include baseline economic increases only. The $0.30 increase for Pay Groups 6 and 7 will be retroactive to April 8, 2025 . (Arbitral award, issued on April 8, 2025 ) Return to table 7 note * referrer"

# Pay Group 8 Basic hourly rates of pay (in dollars)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",40.31,41.94,43.58
"A) January 1, 2023 table 8 note *",41.72,43.41,45.11
"X) January 1, 2023 - pay line adjustment table 8 note *",42.24,43.95,45.67
"B) January 1, 2024 table 8 note *",43.51,45.27,47.04
"Y) January 1, 2024 - pay line adjustment table 8 note *",43.73,45.50,47.28
"C) January 1, 2025 table 8 note *",44.60,46.41,48.23
"Z) January 1, 2025 - wage adjustment table 8 note *",44.71,46.53,48.35
"D) January 1, 2026",45.60,47.46,49.32
"Table 8 Notes Table 8 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 8 note * referrer"

# Pay Group 9 Basic hourly rates of pay (in dollars)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3
"$) January 1, 2022",40.84,42.46,44.19
"A) January 1, 2023 table 9 note *",42.27,43.95,45.74
"X) January 1, 2023 - pay line adjustment table 9 note *",42.80,44.50,46.31
"B) January 1, 2024 table 9 note *",44.08,45.84,47.70
"Y) January 1, 2024 - pay line adjustment table 9 note *",44.30,46.07,47.94
"C) January 1, 2025 table 9 note *",45.19,46.99,48.90
"Z) January 1, 2025 - wage adjustment table 9 note *",45.30,47.11,49.02
"D) January 1, 2026",46.21,48.05,50.00
