# EL-01: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"Y) September 1, 2023 - Market Adjustment","101,080","104,633","108,184","111,732","116,203","124,021"
"C) September 1, 2024","103,102","106,726","110,348","113,967","118,527","126,501"
"Z) September 1, 2024 - Wage Adjustment","103,360","106,993","110,624","114,252","118,823","126,817"
"D) September 1, 2025","105,427","109,133","112,836","116,537","121,199","129,353"

# EL-09: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021","100,060","103,611","107,162","110,711","115,138","122,889"
"A) September 1, 2022","103,562","107,237","110,913","114,586","119,168","127,190"
"X) September 1, 2022 - Wage Adjustment","104,857","108,577","112,299","116,018","120,658","128,780"
"B) September 1, 2023","108,003","111,834","115,668","119,499","124,278","132,643"
"Y) September 1, 2023 - Market Adjustment","108,543","112,393","116,246","120,096","124,899","133,306"
"C) September 1, 2024","110,714","114,641","118,571","122,498","127,397","135,972"
"Z) September 1, 2024 - Wage Adjustment","110,991","114,928","118,867","122,804","127,715","136,312"
"D) September 1, 2025","113,211","117,227","121,244","125,260","130,269","139,038"

# EL-01: weekly rates of pay (in dollars)
# Section: Appendix “B-2”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",724.61,758.30,792.30,826.18,860.15
"A) September 1, 2022",749.96,784.84,820.03,855.11,890.26
"X) September 1, 2022 - Wage Adjustment",759.33,794.66,830.29,865.80,901.39
"B) September 1, 2023",782.12,818.50,855.20,891.77,928.43
"Y) September 1, 2023 - Market Adjustment",786.03,822.60,859.48,896.24,933.07
"C) September 1, 2024",801.75,839.04,876.67,914.16,951.74
"Z) September 1, 2024 - Wage Adjustment",803.76,841.13,878.85,916.44,954.12
"D) September 1, 2025",819.84,857.96,896.43,934.76,973.21

# EL-01: weekly rates of pay (in dollars): continuation
# Section: Appendix “B-2”
Effective date,Step 6,Step 7,Step 8,Step 9,Step 10
"$) September 1, 2021",893.99,927.82,961.63,995.40,"1,066.51"
"A) September 1, 2022",925.29,960.29,995.29,"1,030.24","1,103.84"
"X) September 1, 2022 - Wage Adjustment",936.85,972.29,"1,007.72","1,043.12","1,117.64"
"B) September 1, 2023",964.95,"1,001.46","1,037.95","1,074.42","1,151.16"
"Y) September 1, 2023 - Market Adjustment",969.78,"1,006.46","1,043.14","1,079.79","1,156.91"
