# Section: Part 4: pay and duration
The Treasury Board of Canada,The Canadian Military Colleges Faculty Association
Sandra Hassan Daniel Cyr Allison Shatford Dr. Harry Kowal PhD Dr. Philip Bates PhD Dr. Patrick Heffernan PhD Camille Jolicoeur,Dr. Jean-Marc Noël PhD Dr. Helen Luu PhD Dr. Barbara Falk PhD Dr. Charles-Philippe Courtois PhD Dr. Sylvain Leblanc PhD

"# UT-1: annual rates of pay (in dollars), Steps 1 to 8"
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) July 1, 2017","41,507","44,625","47,743","50,862","53,979","57,098","60,216","63,338"
"X) Wage Adjustment Effective July 1, 2018 table 1 note 1","41,839","44,982","48,125","51,269","54,411","57,555","60,698","63,845"
"A) July 1, 2018 table 1 note 1","42,676","45,882","49,088","52,294","55,499","58,706","61,912","65,122"
"Y) Wage Adjustment Effective July 1, 2019 table 1 note 1","42,761","45,974","49,186","52,399","55,610","58,823","62,036","65,252"
"B) July 1, 2019 table 1 note 1","43,616","46,893","50,170","53,447","56,722","59,999","63,277","66,557"
"C) July 1, 2020","44,270","47,596","50,923","54,249","57,573","60,899","64,226","67,555"
"D) July 1, 2021","44,934","48,310","51,687","55,063","58,437","61,812","65,189","68,568"
"Table 1 Notes Table 1 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 1 note 1 referrer"

"# UT-1: annual rates of pay (in dollars), Steps 9 to 15"
# Section: Appendix A
Effective Date,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15
"$) July 1, 2017","66,454","69,571","72,693","75,810","78,927","82,046","85,163"
"X) Wage Adjustment Effective July 1, 2018 table 2 note 1","66,986","70,128","73,275","76,416","79,558","82,702","85,844"
"A) July 1, 2018 table 2 note 1","68,326","71,531","74,741","77,944","81,149","84,356","87,561"
"Y) Wage Adjustment Effective July 1, 2019 table 2 note 1","68,463","71,674","74,890","78,100","81,311","84,525","87,736"
"B) July 1, 2019 table 2 note 1","69,832","73,107","76,388","79,662","82,937","86,216","89,491"
"C) July 1, 2020","70,879","74,204","77,534","80,857","84,181","87,509","90,833"
"D) July 1, 2021","71,942","75,317","78,697","82,070","85,444","88,822","92,195"
"Table 2 Notes Table 2 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix G, rates prior to the salary change will be paid as lump sum payments: Year 1: Retroactive lump sum payment equal to a 2% economic increase and 0.8% wage adjustment for a compounded total of 2.816%. Changes to the pay rates will not appear on UTs’ pay statements. Year 2: Retroactive lump sum payment equal to Year 1 increases plus a 2% economic increase and a 0.2% wage adjustment for a compounded total of 5.082%. The revised pay rates will be reflected on the UT’s pay statements upon implementation of prospective salary increases. Return to table 2 note 1 referrer"

"# UT-2: annual rates of pay (in dollars), Steps 1 to 8"
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) July 1, 2017","59,059","62,163","65,267","68,370","71,472","74,578","77,679","80,782"
"X) Wage Adjustment Effective July 1, 2018 table 3 note 1","59,531","62,660","65,789","68,917","72,044","75,175","78,300","81,428"
"A) July 1, 2018 table 3 note 1","60,722","63,913","67,105","70,295","73,485","76,679","79,866","83,057"
"Y) Wage Adjustment Effective July 1, 2019 table 3 note 1","60,843","64,041","67,239","70,436","73,632","76,832","80,026","83,223"
"B) July 1, 2019 table 3 note 1","62,060","65,322","68,584","71,845","75,105","78,369","81,627","84,887"
"C) July 1, 2020","62,991","66,302","69,613","72,923","76,232","79,545","82,851","86,160"
"D) July 1, 2021","63,936","67,297","70,657","74,017","77,375","80,738","84,094","87,452"
